t,susceptible,infectious,recovering
0,98111.57883930216,747.1431033383021,1141.278057359533
1,98015.96817152956,788.310215241588,1195.7216132288488
2,97915.18772381062,831.6473016364343,1253.1649745529303
3,97808.97622473187,877.2575101084676,1313.7662651596472
4,97697.06127527554,925.2475995882257,1377.6911251362255
5,97579.15911506652,975.7279109491992,1445.1129739842672
6,97454.97441450262,1028.8123138650851,1516.2132716322803
7,97324.20009752864,1084.6181268955943,1591.1817755757502
8,97186.51720026642,1143.2660075396184,1670.2167921939456
9,97041.5947711818,1204.879808763167,1753.5254200550119
10,96889.08981895282,1269.5863982807607,1841.3237827663993
11,96728.6473146963,1337.5154366471809,1933.8372486565133
12,96559.9002557071,1408.7991100067443,2031.3006342861347
13,96382.46979835883,1483.5718131556039,2133.9583884855538
14,96195.96546829722,1561.9697784059879,2242.064753296776
15,95999.98545652068,1644.13064560786,2355.883897871445
16,95794.11701037092,1730.192968592392,2475.690021036681
17,95577.93692884076,1820.2956532632597,2601.767417895961
18,95351.01217192807,1914.577322587625,2734.41050548428
19,95112.90059400769,2013.1756038414233,2873.9238021508577
20,94863.1518113388,2116.2263336570413,3020.621855004135
21,94601.30821385019,2223.862676720383,3174.8291094294036
22,94326.90613122896,2336.2141543842326,3336.8797143867914
23,94039.47716305281,2453.4055800218794,3507.1172569252954
24,93738.5496822274,2575.555898655464,3685.8944191171163
25,93423.65052028954,2702.7769292735447,3873.572550436897
26,93094.30684218771,2835.1720093173394,4070.5211484949236
27,92750.0482169257,2972.8345420788487,4277.1172409954215
28,92390.40888892635,3115.8464492283842,4493.744661845234
29,92014.9302531177,3264.2765323825192,4720.793214499763
30,91623.16353454125,3418.17874954069,4958.657715918032
31,91214.67267071757,3577.5904143589537,5207.73691492345
32,90789.03739206682,3742.5303285856685,5468.432279347481
33,90345.85649237271,3912.99686054144,5741.146647085816
34,89884.75127760362,4088.965985261017,6026.282737135331
35,89405.36917738736,4270.389304794419,6324.241517818193
36,88907.38749910884,4457.192070143822,6635.420430747315
37,88390.51730001239,4649.271229335204,6960.211470652382
38,87854.50734790844,4846.4935291207,7298.999122970843
39,87299.14813619026,5048.6937006978405,7652.1581631118925
40,86724.27591396208,5255.67276252225,8020.051323515658
41,86129.77668728295,5467.1964756769385,8403.026837040086
42,85515.59014297677,5682.993989231042,8801.41586779216
43,84881.71344229783,5902.756714454345,9215.529843247798
44,84228.20482813435,6126.137467528729,9645.657704336894
45,83555.18698654833,6352.7499203929865,10092.063093058643
46,82862.85010146088,6582.168398458626,10554.981500080465
